keys,fr,en
# ─── ACTIVITIES (tuiles) ───────────────────────────,,
ACTIVITY_GATHERING,Cueillette,Gathering
ACTIVITY_HUNTING,Chasse,Hunting
ACTIVITY_WOOD_PICKER,Ramasseur de bois,Wood picker
ACTIVITY_LUMBERJACK,Bûcheron,Lumberjack
ACTIVITY_FORESTER,Forestier,Forester
ACTIVITY_GARDENER,Jardinier,Gardener
ACTIVITY_ORE_PICKER,Ramasseur de minerai,Ore picker
,,
# ─── COLONY VIEW ───────────────────────────────────,,
LABEL_COLONY_TITLE,Colonie,Colony
LABEL_EMPTY_SLOT,(emplacement libre),(empty slot)
LABEL_IN_SETTLEMENT_BRACKETS,(Colonie),(Settlement)
LABEL_IN_SETTLEMENT,dans la colonie,in settlement
LABEL_IDLE_IN_SETTLEMENT,inactif dans la colonie,idle in settlement
LABEL_IDLE,inactif,idle
,,
# ─── CONSTRUCTION ──────────────────────────────────,,
LABEL_BUILDING_TARGET,Construire : %s,Build: %s
LABEL_NO_TARGET,(rien à construire),(no target)
LABEL_CLEAR_TARGET,Aucune cible,No target
LABEL_PLACE_HERE,(placer ici),(place here)
LABEL_UNDER_CONSTRUCTION,en construction,under construction
LABEL_OPERATIONAL,opérationnel,operational
BTN_CHOOSE_TARGET,Choisir une cible,Choose target
,,
# ─── BUILDINGS ─────────────────────────────────────,,
BUILDING_CRYO_ROOM,Cryogénisation,Cryo Room
BUILDING_COMPUTER,Ordinateur central,Central Computer
BUILDING_SYNTHESIZER,Synthétiseur,Synthesizer
BUILDING_CONSTRUCTION_ZONE,Zone de construction,Construction Zone
BUILDING_CAMPFIRE,Feu de camp,Campfire
BUILDING_TOOL_WORKSHOP,Atelier d'outils,Tool Workshop
BUILDING_CANTEEN,Cantine,Canteen
BUILDING_CANTEEN_DESC,Permet aux survivants de préparer des repas.,Allows survivors to prepare meals.
,,
# ─── BUILDINGS : FAMILLES ──────────────────────────,,
BUILDING_FAMILY_TRANSFORMATION,⚙ transformation,⚙ transformation
BUILDING_FAMILY_FUNCTION,◇ fonction,◇ function
,,
# ─── SYNTHESIZER (vue dédiée) ──────────────────────,,
LABEL_SYNTH_TOGGLE,Synthétiseur de nourriture  (−3 élec → +1 nourriture),Food synthesizer  (−3 elec → +1 food)
LABEL_SYNTH_RUNNING,En marche,Running
LABEL_SYNTH_INFO,−3 élec → +1 nourriture,−3 elec → +1 food
,,
# ─── COMPUTER (vue dédiée) ─────────────────────────,,
BTN_COMPUTER_INTERACT,Interagir,Interact
BTN_COMPUTER_CHAT,Discuter avec l'ordinateur,Talk to the computer
POPUP_COMPUTER_TITLE,Ordinateur central,Central Computer
,,
# ─── NEWS & EVENTS ─────────────────────────────────,,
NEWS_TITLE,Nouvelles du bunker,News from the bunker
NEWS_INTRO,La nuit dernière :,Last night:
POPUP_NEWS_TITLE,Nouvelles du bunker,News from the bunker
POPUP_NEWS_PREFIX,"La nuit dernière :\n\n","Last night:\n\n"
LABEL_EVENT_LOG_TITLE,Journal,Journal
LABEL_EVENT_TURN_PREFIX,[T%d],[T%d]
EVENT_WAKE,%s (%s) émerge de la cryo.,%s (%s) wakes from cryosleep.
EVENT_TARGETED_WAKE_SUCCESS,%s (%s) est repéré·e dans la cryo.,%s (%s) located in cryo.
EVENT_TARGETED_WAKE_FAIL,Aucun·e %s trouvé·e en cryo.,No %s found in cryo.
EVENT_DEATH_STARVED,%s (%s) est mort·e de faim.,%s (%s) starved to death.
EVENT_DEATH_SWITCHED_OFF,%s (%s) a été éteint·e cette nuit.,%s (%s) was switched off.
EVENT_FAMINE_STARTED,La famine s'installe.,Famine sets in.
EVENT_FAMINE_ENDED,La famine recule.,Famine recedes.
EVENT_REACTOR_DECAY,Le réacteur perd 1 d'output (%.0f restant).,Reactor loses 1 output (%.0f left).
EVENT_CONSTRUCTION_STARTED,Chantier lancé : %s.,Construction started: %s.
EVENT_CONSTRUCTION_COMPLETED,%s achevé.,%s completed.
EVENT_HUNT_SUCCESS,%s (%s) revient avec du gibier.,%s (%s) returns with prey.
EVENT_HUNT_FAIL,%s (%s) rentre bredouille.,%s (%s) returns empty-handed.
EVENT_HUNT_NO_INPUTS,%s (%s) manque d'outils pour chasser.,%s (%s) lacks tools for hunting.
EVENT_FOREST_DEPLETED,Une forêt est devenue plaine.,A forest has become plain.
,,
# ─── NECROLOGY & DEATHS ────────────────────────────,,
BTN_NECROLOGY,Nécrologie,Necrology
POPUP_NECROLOGY_TITLE,Nécrologie,Necrology
POPUP_NECROLOGY_EMPTY,(aucune perte pour le moment),(no losses yet)
POPUP_NECROLOGY_LINE,Tour %d — %s (%s) — %s,Turn %d — %s (%s) — %s
DEATH_SWITCHED_OFF,débranché(e),switched off
DEATH_STARVED,mort(e) de faim,starved
DEATH_LINE_SWITCHED,"%s (%s) a été débranché(e).","%s (%s) was switched off."
DEATH_LINE_STARVED,"%s (%s) est mort(e) de faim.","%s (%s) starved to death."
,,
# ─── PROFESSIONS ───────────────────────────────────,,
PROF_CEO,PDG,CEO
PROF_TRADER,Trader,Trader
PROF_GAME_DESIGNER,Game designer,Game designer
PROF_AI_SPECIALIST,Spécialiste IA,AI specialist
PROF_LAWYER,Avocat,Lawyer
PROF_COSMETIC_SURGEON,Chirurgien esthétique,Cosmetic surgeon
PROF_INFLUENCER,Influenceur,Influencer
PROF_ARCHITECT,Architecte,Architect
PROF_LOBBYIST,Lobbyiste,Lobbyist
PROF_PRIVATE_PILOT,Pilote privé,Private pilot
PROF_BANKER,Banquier,Banker
PROF_CHEF,Chef étoilé,Michelin-starred chef
,,
# ─── JOBS : LEGACY (à supprimer ?) ─────────────────,,
JOB_IDLE,Repos,Idle
JOB_FARMER,Cultiver,Farmer
JOB_LUMBERJACK,Bûcheronner,Lumberjack
JOB_MINER,Miner,Miner
